event_type,event_cause,description,requires_road_closure,priority,latitude,longitude,address,corridor,zone,police_station,description_missing,Day_of_Week
planned,construction,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9696105,77.7005267,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Saturday
unplanned,construction,gba working so slow traffic moment,False,High,12.920716,77.66500052,"Outer Ring Road, Sajapur Junction, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",ORR East 1,South Zone 2,Bellandur,False,Wednesday
planned,public_event,"[PERSON]
organizes the Brahma Rathotsava,
the festival of the palanquins of Sri
Kodandaramaswamy, and the
[PERSON] program.",True,Low,13.01495345,77.65422187,"Banaswadi Main Road, Vijaya Bank Colony, HRBR Layout 1st Block, Banaswadi, Bengaluru North City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560043, India",Non-corridor,Central Zone 1,Banaswadi,False,Sunday
unplanned,construction,,False,High,13.0425801,77.6110928,"MBT Road, SNN Clermont, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",ORR North 1,North Zone 1,Hebbala,True,Wednesday
planned,construction,drainage cleaning for mmt down ramp,False,High,12.9954628,77.6667978,"Old Madras Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",ORR North 1,East Zone 2,Mahadevapura,False,Saturday
unplanned,construction,[PERSON] work progress in S cross Panthuru sir. slow moving traffic from PRB to Kadubeesanahalli.,False,Low,12.936306,77.7055441,"Panathur Main Road, Vandana Tejyesh, Varthur Hobli, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",Non-corridor,East Zone 1,HAL Old Airport,False,Thursday
planned,public_event,[PERSON] procession at Hosaroad and Channakesavanagar,True,Low,12.87032563,77.65862134,"Hosa Road, Chikkathoguru, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560100, India",Non-corridor,,Electronic City,False,Friday
planned,construction,karthiknagara towards [PERSON] and [PERSON] towards [LOCATION] traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9693675,77.7006326,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Wednesday
unplanned,construction,KPTCL Work Pending in front of Vandana Tejas appartment [LOCATION]. slow moving traffic [LOCATION] to [LOCATION].,False,Low,12.9362202,77.7054416,"Panathur Main Road, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",Non-corridor,East Zone 1,HAL Old Airport,False,Thursday
planned,construction,karthiknagara towards [PERSON] and [PERSON] towards [LOCATION] traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9693195,77.7012098,"Outer Ring Road, LRDE Employee Housing Colony, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Thursday
planned,construction,[LOCATION] work,True,High,12.9568175,77.7011908,"Marathahalli Underpass, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",Varthur Road,East Zone 1,HAL Old Airport,False,Sunday
unplanned,construction,BWSSB work is goingon near,False,High,13.0424993,77.6109634,"MBT Road, SNN Clermont, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",ORR North 1,North Zone 1,Hebbala,False,Friday
planned,vip_movement,VVIP Movement,True,High,12.95876021,77.66366888,"Institute of Aerospace Medicine - IAM, Airport Departure Road, Vibhootipura, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560017, India",Old Airport Road,East Zone 1,HAL Old Airport,False,Saturday
planned,construction,"[PERSON] WORK, traffic movement is slow sir",False,Low,12.9363031,77.7054752,"Panathur Main Road, Vandana Tejyesh, Varthur Hobli, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",Non-corridor,East Zone 1,HAL Old Airport,False,Friday
planned,procession,[PERSON] towords National College Ground Sir,False,Low,12.9510377,77.5747268,"Jain Temple Road, VV Puram, Bengaluru, Karnataka. Pin-560004 (India)",Non-corridor,,V.V.Puram (C.Pet),False,Sunday
planned,construction,[LOCATION] towards [PERSON] and [PERSON] towards [LOCATION] traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9697729,77.7009022,"Outer Ring Road, LRDE Employee Housing Colony, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Friday
planned,vip_movement,Road Restriction for PM Visit,True,Low,12.88601305,77.50546757,"NICE Expressway, Banashankari 6th Stage - 7th Block, Banashankari 6th Stage, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560062, India",Non-corridor,South Zone 1,Thalagattapura,False,Saturday
planned,vip_movement,Road Restriction for PM Visit,True,Low,12.84974901,77.58841351,"Bannerghatta Road, Doddakammanahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560083, India",Non-corridor,,Hulimavu,False,Saturday
planned,construction,karthiknagara towards [PERSON] and [PERSON] towards [LOCATION] traffic movement will be slow due to [LOCATION] station piller work,False,High,12.969732,77.7005722,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Saturday
unplanned,construction,BWSSB work in progress Nandhidurga road Haz camp to JCN PS junction road closed.,True,Low,12.9985422,77.6004573,"VP Deenadayalu Naidu Road, R Reddy Layout, Benson Town, Bengaluru, Karnataka. Pin-560046 (India)",Non-corridor,,R.T. Nagar,False,Saturday
unplanned,construction,BWSSB work in progress,True,Low,12.9957499,77.6019535,"VP Deenadayalu Naidu Road, Aalco Layout, Benson Town, Bengaluru, Karnataka. Pin-560046 (India)",Non-corridor,,R.T. Nagar,False,Saturday
planned,vip_movement,Road Restriction for PM Visit,True,Low,12.8558344,77.52546483,"Kanakapura Road, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560083, India",Non-corridor,West Zone 1,No Police Station,False,Saturday
planned,construction,,True,High,13.0304134,77.5372098,"AH 47, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",Tumkur Road,North Zone 2,Yeshwanthpura,True,Sunday
planned,construction,vehicle diversion work bda at [LOCATION],True,Low,13.0208989,77.5283508,"100 Feet Road, Kanteerava Studio Circle, Bengaluru, Karnataka. Pin-560096 (India)",Non-corridor,West Zone 2,Rajajinagar,False,Sunday
planned,vip_movement,Road Restriction for PM Visit,True,High,12.90516945,77.4710541,"Bangalore-Mysore Road, Hemmigepura, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560060, India",Mysore Road,West Zone 1,Kengeri,False,Saturday
planned,vip_movement,Road Restriction for PM Visit,True,Low,12.88032054,77.49681914,"NICE Expressway, Talagattapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560062, India",Non-corridor,South Zone 1,Thalagattapura,False,Saturday
unplanned,procession,procession at sunkadakatte towards bh cross and ashrya jn,False,High,12.9892555,77.5008041,"Magadi Main Road, Hanumantharayan Palya, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)",Magadi Road,West Zone 1,Kamakshipalya,False,Sunday
planned,public_event,RCB vs DC - IPL Match at [LOCATION].,False,High,12.97888794,77.59952643,"ಚಿನ್ನಸ್ವಾಮಿ ಕ್ರೀಡಾಂಗಣ, ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",CBD 2,Central Zone 2,Cubbon Park,False,Saturday
unplanned,protest,demo,False,High,13.03203291,77.53807068,"Central Manufacturing Technology Institute, Goraguntepalya Flyover, Goragunte Palya, Peenya, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560022, India",Tumkur Road,North Zone 2,Yeshwanthpura,False,Monday
planned,vip_movement,Road Restriction for PM Visit,True,High,12.90407078,77.47050641,"Bangalore-Mysore Road, Hemmigepura, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560060, India",Mysore Road,West Zone 1,Kengeri,False,Saturday
planned,vip_movement,Road Restriction for PM Visit,True,High,12.90123929,77.46726094,"Hemmigepura, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560060, India",Mysore Road,West Zone 1,Kengeri,False,Saturday
planned,vip_movement,Road Restriction for PM Visit,True,Low,12.98875447,77.47251828,"Magadi Road, Gollarahatti, Nada prabhu Kempegowda Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560091, India",Non-corridor,West Zone 1,Kamakshipalya,False,Saturday
planned,construction,White Topping at Dr. [PERSON],True,Low,12.98773709,77.55986202,"Kanva Diagnostics, 2/10, Dr. Rajkumar Road, Rajajinagar 4M Block, Da.Ra. Bendre Ward, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India",Non-corridor,West Zone 2,Rajajinagar,False,Tuesday
planned,construction,karthiknagara towards [PERSON] and [PERSON] towards [LOCATION] traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9693524,77.7006637,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Monday
planned,construction,ನಮಸ್ತೆ ಸರ್ ಒಳಚರಂಡಿ ಕಾಮಗಾರಿ ಮಾಡುವುದರಿಂದ ರೋಡನ್ನು ಕ್ಲೋಸ್ [LOCATION],True,Low,13.0113867,77.54519,"Hasya Chakravarti Narasimha Raju Road, Sri Vasavi Garden, Mahalakshmi Layout, Bengaluru, Karnataka. Pin-560086 (India)",Non-corridor,West Zone 2,Rajajinagar,False,Wednesday
planned,vip_movement,Road Restriction for PM Visit,True,Low,13.05688083,77.47401009,"Anchepalya, Madhavara, Chikkabidarakallu, Bangalore North, Bengaluru Urban, Karnataka, 560073, India",Non-corridor,West Zone 1,No Police Station,False,Saturday
planned,vip_movement,Road Restriction for PM Visit,True,Low,13.05526533,77.47825398,"Manjunath Nagar, Anchepalya, Madhavara, Chikkabidarakallu, Bangalore North, Bengaluru Urban, Karnataka, 560073, India",Non-corridor,West Zone 1,No Police Station,False,Saturday
planned,vip_movement,Road Restriction for PM Visit,True,High,12.90123143,77.46735197,"Bangalore-Mysore Road, Hemmigepura, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560060, India",Mysore Road,West Zone 1,Kengeri,False,Saturday
planned,construction,White tapping progress in hennur bagalur main road sir,False,Low,13.0670028,77.6517305,"Hennur Main Road, Salarpuria Sattva Gold Summit, Kuvempu Layout, Visthar, Bengaluru, Karnataka. Pin-560077 (India)",Non-corridor,North Zone 1,Hennuru,False,Tuesday
planned,procession,krisht prossetion,False,High,12.9603835,77.5627726,"Albert Victor Road, Sirsi Circle, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",Mysore Road,Central Zone 2,Chamarajpet,False,Monday
unplanned,construction,White taping work at surabhi layout vehicle moment slow sir,False,High,13.096255,77.600185,"Jakkur Main Road, Century Breeze, Nehru Nagar, Bengaluru, Karnataka. Pin-560064 (India)",Bellary Road 2,North Zone 2,Yelahanka,False,Tuesday
planned,construction,ಪ್ರವೇಟ್ ಪ್ರಾಪರ್ಟಿಯಲ್ಲಿರುವ ಹಳೆ ಮರದ  ನಾಲ್ಕು ರೆಂಬೆಗಳನ್ನು ಅರಣ್ಯ ಇಲಾಖೆಯಿಂದ ಅನುಮತಿ ಪಡೆದು ಕಟ್ ಮಾಡಿ ತೆರವು ಮಾಡಲಾಗಿರುತ್ತದೆ. ಸಂಚಾರಕ್ಕೆ ಯಾವುದೇ ತೊಂದರೆ ಇರುವುದಿಲ್ಲ,False,High,12.9721302,77.6070396,"Brigade Road, Brigade Road Junction, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",Old Madras Road,Central Zone 1,Ashok Nagar,False,Tuesday
unplanned,construction,[LOCATION] main road to wrads [LOCATION] work sir,False,Low,13.1173777,77.5777874,"Doddaballapur Main Road, Nagarjuna Meadows, Anantapura, Bengaluru, Karnataka. Pin-560064 (India)",Non-corridor,North Zone 2,Yelahanka,False,Tuesday
planned,construction,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9694819,77.7006441,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Tuesday
planned,construction,tavarekere [PERSON] wood,False,Low,12.9255592,77.6087154,"Thavarekere Main Road, Brindavan Nagar, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",Non-corridor,South Zone 2,Mico Layout,False,Tuesday
planned,construction,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9695714,77.700534,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Monday
planned,procession,village festival,False,Low,12.9360068,77.7070682,"Panathur Main Road, Vandana Tejyesh, Varthur Hobli, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",Non-corridor,East Zone 1,HAL Old Airport,False,Tuesday
unplanned,construction,,False,High,12.9543416,77.6804399,"HAL Airport Road, HAL Industrial Area, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",Old Airport Road,East Zone 1,HAL Old Airport,True,Wednesday
planned,construction,karthiknagara towards [PERSON] and karthiknagara towards mahadevpura traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9696034,77.7005489,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Wednesday
unplanned,construction,[LOCATION] main road [PERSON] kirdcl  bbmp water work sir,False,Low,13.1188317,77.577265,"Doddaballapur Main Road, NCC Urban Mayfair, Anantapura, Bengaluru, Karnataka. Pin-560064 (India)",Non-corridor,North Zone 2,Yelahanka,False,Wednesday
planned,construction,snj traffic ps limits,False,High,13.0443032,77.5819616,"2nd Main Road, Abdul Patel Syed Layout, Bhoopasandra, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",ORR North 2,North Zone 1,Kodigehalli,False,Tuesday
planned,procession,bilekahalli junction towards HSBC,False,High,12.9019622,77.6011975,"Bannerghatta Main Road, Bilekahalli Junction, Bilekahalli, Bengaluru, Karnataka. Pin-560076 (India)",Bannerghata Road,South Zone 2,Mico Layout,False,Thursday
planned,construction,Bridge work under prograss,True,Low,12.91427815,77.61741195,"ಟ್ಯಾಂಕ್ ಬಂಡ್ ರಸ್ತೆ, ವಿಶ್ವಮಾನವ ಕುವೆಂಪು ವಾರ್ಡ್, ಬೆಂಗಳೂರು ದಕ್ಷಿಣ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ದಕ್ಷಿಣ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560068, India",Non-corridor,South Zone 2,Mico Layout,False,Saturday
planned,construction,ಮಾರತಹಳ್ಳಿ ಬ್ರಿಜ್ ಲ್ಲಿ  ಬಿಎಂಆರ್‌ಪಿಎಲ್ ಮೆಟ್ರೋ ವರ್ಕ್ ನಡೆಯುತ್ತಿರುತ್ತದೆ. ಹಾಗಾಗಿ ಸರ್ವಿಸ್ ರಸ್ತೆಯನ್ನು . ಮುಚ್ಚಲಾಗಿರುತ್ತದೆ.,True,High,12.9567539,77.7013119,"HAL Airport Road, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",Varthur Road,East Zone 1,HAL Old Airport,False,Tuesday
planned,construction,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9695804,77.7005848,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Tuesday
planned,procession,[PERSON],True,Low,13.0162183,77.7092396,"Basavanapura Road, Sri Manjunatha Layout, KR Puram, Bengaluru, Karnataka. Pin-560049 (India)",Non-corridor,,K.R. Pura,False,Tuesday
unplanned,procession,ನಮಸ್ತೆ ಸರ್ ತಣಿಸಂದ್ರ ಜಂಕ್ಷನ್ ನಲ್ಲಿ ಊರೂ ಹಬ್ಬ ಇರುವ ಕಾರಣ ತಣಿಸಂದ್ರ ಜಂಕ್ಷನ್ ಟೋವರ್ಡ್ಸ್ ನಾಗವಾರ ಹಾಗೂ ಟುವರ್ಡ್ಸ್ ಹೆಗಡೆ ನಗರಎರಡು ರಸ್ತೆ ಸ್ಲೋ ಮೂಮೆಂಟ್ ಇದೆ ಸರ್,False,High,13.0561108,77.632872,"Thanisandra Main Road, Thanisandra Circle, Thanisandra, Bengaluru, Karnataka. Pin-560077 (India)",Hennur Main Road,North Zone 1,Hennuru,False,Wednesday
unplanned,procession,sunkadakatte at magadi main road towards herohalli cross,False,High,12.9896925,77.5019422,"Magadi Main Road, Hanumantharayan Palya, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)",Magadi Road,West Zone 1,Kamakshipalya,False,Friday
unplanned,construction,[LOCATION] construction work in progress .,False,High,12.96941313,77.70096937,"Outer Ring Road, LRDE Employee Housing Colony, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Friday
unplanned,construction,sanjainagar traffic station,True,High,13.0248346,77.5824579,"1st Main Road, Training Quarters, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)",Bellary Road 1,North Zone 1,Kodigehalli,False,Friday
planned,construction,[PERSON] staion piller construction work progress towords [PERSON] [LOCATION] is slow movement Regarding traffic is [LOCATION],False,High,12.9695205,77.7005879,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Saturday
planned,construction,Mixture Lorry Tyre Puncture,False,High,12.964045,77.5882867,"Mission Road, ETO Junction, Kalasipalyam, Bengaluru, Karnataka. Pin-560027 (India)",Mysore Road,Central Zone 2,Halasuru Gate,False,Saturday
planned,construction,"BWSSB Work, Whaitfield Towards [PERSON]",False,Low,12.9608586,77.7477127,"Whitefield Main Road, Carmel Heights, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",Non-corridor,East Zone 1,Whitefield,False,Wednesday
planned,construction,White Topping Phase-3 at [LOCATION],True,Low,12.98425609,77.58240759,"Race Course Road, ಫೇರ್ ಫೀಲ್ಡ್ ಲೇಔಟ್, ಹೈ ಗ್ರೌಂಡ್ಸ್, ಸಂಪಂಗಿರಾಮ ನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",Non-corridor,Central Zone 2,High ground,False,Saturday
unplanned,construction,,False,High,12.9694637,77.700664,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,True,Saturday
unplanned,construction,[LOCATION] pillar work,False,Low,12.9244288,77.5803387,"4th Main Road, Shri Satya Sai Circle, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",Non-corridor,South Zone 1,Jayanagara,False,Saturday
planned,construction,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,False,High,12.969728,77.7007284,"Outer Ring Road, LRDE Employee Housing Colony, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Wednesday
unplanned,construction,Drainage pipe workprogress..Anandrao fly over down ramp to race view junction traffic slow movement,False,Low,12.983856,77.577635,"Dr MH Ambarish Road, Madhavanagar Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Non-corridor,Central Zone 2,High ground,False,Sunday
planned,public_event,local village festival,False,High,12.9561458,77.6939553,"HAL Airport Road, Manjunatha Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",Old Airport Road,East Zone 1,HAL Old Airport,False,Sunday
planned,public_event,local village festival,False,High,12.956161,77.6940295,"HAL Airport Road, Manjunatha Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",Old Airport Road,East Zone 1,HAL Old Airport,False,Sunday
planned,public_event,due to local village festival,False,High,12.9562766,77.6940173,"HAL Airport Road, Manjunatha Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",Old Airport Road,East Zone 1,HAL Old Airport,False,Sunday
planned,public_event,local village festival,False,High,12.9564768,77.6941351,"2nd Main Road, Manjunatha Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",Old Airport Road,East Zone 1,HAL Old Airport,False,Sunday
planned,public_event,local village festival,False,High,12.9561595,77.6939741,"HAL Airport Road, Manjunatha Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",Old Airport Road,East Zone 1,HAL Old Airport,False,Sunday
planned,public_event,rathostava,False,Low,13.0007295,77.5693615,"Siddavanahalli Krishna Sharma Road, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",Non-corridor,West Zone 2,Malleshwaram,False,Monday
unplanned,construction,ಬೂದಿಗೆರೆ ಕ್ರಾಸ್ ಬಳಿ ಬೆಸ್ಕಾಂ ನವರು ಎಲೆಕ್ಟ್ರಿಕ್ ಕೇಬಲ್ ಅಕುವುದರ ಸಲುವಾಗಿ ರೋಡ್ [LOCATION] ಅಗೆದಿದ್ದು [LOCATION] ನಿದಾನ ಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್,False,Low,13.0457678,77.7502019,"MBT Road, Subhams Antique City, Konadasapura, Bengaluru, Karnataka. Pin-560049 (India)",Non-corridor,,K.R. Pura,False,Thursday
planned,public_event,"Vehicle Diversion at [LOCATION] Road(13.027712, 77.535668)",False,Low,13.02668698,77.53509982,"ಹೊರ ವರ್ತುಲ ರಸ್ತೆ, ಗೊರಗುಂಟೆ ಪಾಳ್ಯ, ಪೀಣ್ಯ, ಬೆಂಗಳೂರು ಪಶ್ಚಿಮ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560022, India",Non-corridor,North Zone 2,Yeshwanthpura,False,Thursday
planned,construction,varthur college towards madaranagar,False,Low,12.9424427,77.7473603,"Muthsandra Main Road, KSRTC Travel House Junction, Varthur Marattahalli, Bengaluru, Karnataka. Pin-560087 (India)",Non-corridor,East Zone 1,Whitefield,False,Thursday
planned,construction,karthiknagara towards [PERSON] and karthiknagara towards mahadevpura traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9694437,77.7006895,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Monday
planned,public_event,TCS Marathon 2026,True,High,12.9757277,77.61296523,"ಕಬ್ಬನ್ ರಸ್ತೆ, ಅಶೋಕ ನಗರ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560025, India",Old Madras Road,,Shivajinagar,False,Monday
planned,construction,White Topping Phase 2 at [LOCATION],True,Low,12.98324679,77.57715769,"Bangalore Race Course, Race Course Road, Fair Field Layout, High Grounds, Sampangirama Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",Non-corridor,Central Zone 2,High ground,False,Saturday
planned,construction,varthur ps towards balegere road,False,Low,12.9382954,77.7454769,"27th Cross Road, BMG Layout, Varthur Marattahalli, Bengaluru, Karnataka. Pin-560087 (India)",Non-corridor,East Zone 1,Whitefield,False,Thursday
unplanned,construction,water pipe,False,High,12.9371017,77.5203667,"Mysore Road, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",Mysore Road,West Zone 2,Byatarayanapura,False,Thursday
planned,construction,bbmp wrk sir,False,Low,12.931129,77.6339107,"1st Main Road, Prestige Pine Wood, Jakkasandra Extension, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",Non-corridor,Central Zone 1,Ashok Nagar,False,Thursday
planned,construction,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9695083,77.7005878,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Tuesday
planned,construction,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9694371,77.7006242,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Thursday
unplanned,construction,[LOCATION] work,False,High,13.0102851,77.6621048,"4th C Cross Road, Bacchanna Layout, B Channasandra, Banaswadi, Bengaluru, Karnataka. Pin-560043 (India)",ORR North 1,Central Zone 1,Banaswadi,False,Friday
unplanned,procession,ದೇವರ ಪಲ್ಲಕ್ಕಿ ಮೆರವಣಿಗೆ ಮಾಡುತಿದರೆ ಸರ್,False,Low,12.9139691,77.6779392,"Sarjapura Main Road, Maruti Nagar, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",Non-corridor,South Zone 2,Bellandur,False,Wednesday
planned,construction,Karthik nagar SNC METRO PILLOR CONCRETE WORK,False,High,12.9696868,77.7004176,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Wednesday
unplanned,protest,test,False,Low,13.05342267,77.75779724,"Geist Brewing Co. OMR, Raghuvanahalli - Hosakote Road, Nimbekaipura, Nimbekayipura, Kattamanallur, Bangalore East, Bengaluru Urban, Karnataka, 560115, India",Non-corridor,,K.R. Pura,False,Saturday
planned,construction,[LOCATION] work,False,Low,13.0225146,77.6018347,"1st Cross Road, Sultanpalya, Bengaluru, Karnataka. Pin-560032 (India)",Non-corridor,,R.T. Nagar,False,Saturday
planned,construction,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,False,High,12.9694761,77.7006303,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Wednesday
planned,construction,bridge Work and CC road work under progress,True,Low,12.9160554,77.6168548,"30th Main Road, Someshwara Colony, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",Non-corridor,South Zone 2,Mico Layout,False,Saturday
